bugNumber,summary,severity,priority,testBlocking,globalState,component,subComponent,releaseState,releaseDetected,targetReleaseId,creator,verifier,assignedTo,creatorManager,verifierManager,udfFeature,passedPreviously,lastPassBuild,metaData,keyName,reportedByCustomer,creationTimeStamp,crState
xos0046640,"<Summit Stack> Seeing ""Dropped CM_MSG"" messages while stack fist time booting u","3 - Minor","3 - Important",,Assigned,Infrastructure,CM,Assigned,"EXOS 15.1.1",3511,naarumugam,naarumugam,ukomarla,"Suresh Babu Thuravupala","Lou Dernosek","Existing Feature",No,12.7.1.1,,,,2011-12-26,open
xos0049742,"""show iproute mpls"" shows only 7 routes from mpls, but we have configured 8 sta","2 - Major","4 - Moderate",,Assigned,MPLS,General,Assigned,"EXOS 15.3.1",3511,rtavva,rtavva,lzhao,"Suresh Babu Thuravupala","Tim Bourne","Existing Feature",Yes,15.1.2.9,,,,2012-11-02,open
xos0050773,"<Warn:VMT.ParmInv> MM-A: Function vmtDeleteClient Arg vlanIfInstance has an inv","3 - Minor","4 - Moderate",,Assigned,DC,XNV,Assigned,"EXOS 15.3.1",3511,sasrinivasan,sasrinivasan,travinanthanan,"Gopla Ramkumar","Anand Sundaresh Natarajan","XNV Dynamic vlan",NO,,,,,2013-01-24,open
xos0051062,"The SNMP Boots value is not incremented when the SNMP engine time wraps","3 - Minor","4 - Moderate",,Assigned,System,SNMP,Assigned,"EXOS 15.3.1",3511,grajagopalsai,grajagopalsai,grajagopalsai,"Anand Sundaresh Natarajan","Anand Sundaresh Natarajan","Existing Feature",No,,,,,2013-02-27,open
xos0051966,"Cannot install a dynamic ACL rule with match combination of ARP type/source/tar","3 - Minor","4 - Moderate",,Assigned,System,ACL,Assigned,"EXOS 15.4.1",3511,jshah,uparthasarathy,aoumanski,,"Daya Narayana",OpenFlow,No,,,,,2013-05-14,open
xos0052052,"UPM-Netlogin: LOG_PARAM variables in ""show upm history details"" shows the incorrect values.","3 - Minor","3 - Important",,"Feedback Needed",Infrastructure,UPM,Assigned,"EXOS 15.4.1",3511,ajosephantilraj,ajosephantilraj,ajosephantilraj,"Gopla Ramkumar","Gopla Ramkumar","Existing Feature",No,,,,,2013-05-21,sqaPending
xos0052199,"UDP-FWD: UDP broadcast packets are not forwarded on BD-X8 when matching source ","3 - Minor","4 - Moderate",,Assigned,NET,DHCP/BOOTP,Assigned,"EXOS 15.3.2",3511,eyoung,eyoung,vilangovan,,"Anand Sundaresh Natarajan","Existing Feature",No,,,,,2013-05-31,open
xos0052444,"Warning logged twice from MSM-A & MSM-B when IP address removed from VRRP enabl","4 - Trivial","4 - Moderate",,Assigned,IP,VRRP,Assigned,"EXOS 15.4.1",3511,tperiyannan,pilango,rakumar,"Gopla Ramkumar","Anand Sundaresh Natarajan","Existing Feature",No,,,,,2013-06-19,open
xos0052521,"Disabling the ipsecurity detection for the identity-management entry, does not ","3 - Minor","3 - Important",,Assigned,Security,"ID Mgmt",Assigned,"EXOS 15.4.1",3511,rouseph,rouseph,msharma,"Gopla Ramkumar","Anand Sundaresh Natarajan","Existing Feature",No,,,,,2013-06-25,open
xos0052544,"Restarting the Idmgr  process followed by restarting the lldp process in case o","3 - Minor","3 - Important",,Assigned,Security,"ID Mgmt",Assigned,"EXOS 15.4.1",3511,rouseph,rouseph,msharma,"Gopla Ramkumar","Anand Sundaresh Natarajan","Role based vlan for IDM",No,,,,,2013-06-26,open
xos0052578,"X480 (15.4.0.21) : Process netTools crashes with signal 6 on creating a row in ","2 - Major","3 - Important",,Assigned,System,Management,Assigned,"EXOS 15.4.1",3511,dranganathan,dranganathan,travinanthanan,"Shankar Palanivel","Anand Sundaresh Natarajan","Existing Feature",No,,,,,2013-06-29,open
xos0052599,"(15.4.0.21): Getting �commitFailed� error while trying to set �pingCtlTable� us","3 - Minor","4 - Moderate",,Assigned,System,Management,Assigned,"EXOS 15.4.1",3511,dranganathan,dranganathan,travinanthanan,"Shankar Palanivel","Anand Sundaresh Natarajan","Existing Feature",No,,,,,2013-07-01,open
xos0052794,"<Crit:VMT.ParmNull> Function vmtAddClient was called with a null pointer vpif E","3 - Minor","3 - Important",,Assigned,DC,XNV,Assigned,"EXOS 15.4.1",3511,ragrajan,ragrajan,athiruvanghadan,"Uma Parthasarathy","Anand Sundaresh Natarajan","Existing Feature",No,,,,,2013-07-17,open
xos0052821,"XNV NMS Authentication: ""show vm-tracking"" shows the incorrect VM ipaddress.","4 - Trivial","5 - Low",,Assigned,DC,XNV,Assigned,"EXOS 15.4.1",3511,ajosephantilraj,ajosephantilraj,travinanthanan,"Gopla Ramkumar","Anand Sundaresh Natarajan","Existing Feature",No,,,,,2013-07-19,open
xos0053235,"In 15.3.2 VR related configurations are shown in the output of show configurati","3 - Minor","4 - Moderate",,Assigned,IP,VR/VRF/L3VPN,Assigned,"EXOS 15.4.1",3511,lkesavan,mxu,mxu,,"Tim Bourne","CLI Parse Tree Footprint Reduction",No,,,,,2013-08-30,open
xos0053463,"x670 Stack : Kernel Errors observed after deleting eaps domain<Erro:Kern.Card","2 - Major","5 - Low",,Assigned,L2,EAPS,Assigned,"EXOS 15.4.1",3511,vaswadhati,vaswadhati,mxu,"Gopla Ramkumar","Tim Bourne","Existing Feature",No,,,,,2013-09-24,open
xos0053482,"DUT prints <Erro:elsm.vlanError> elsmHandleDelPortFromVlan Error operating on v","3 - Minor","3 - Important",,Assigned,DC,XNV,Assigned,"EXOS 15.4.1",3511,ragrajan,ragrajan,mxu,"Uma Parthasarathy","Tim Bourne","Existing Feature",Yes,15.4.0.39,,,,2013-09-25,open
xos0053613,"Modification of VMMAP(VPP name) and VPP(counter and policy) files from FTP serv","3 - Minor","3 - Important",,Assigned,DC,XNV,Assigned,"EXOS 15.4.1",3511,nperiannan,nperiannan,travinanthanan,"Raj Velusamy","Anand Sundaresh Natarajan","Existing Feature",No,,,,,2013-10-09,open
xos0053753,"while executing ""debug hal show congestion"" command the output has Error messag","3 - Minor","3 - Important",,Assigned,System,EMS,Assigned,"EXOS 15.4.1",3511,pilango,pilango,rdayal,"Raj Velusamy","Daya Narayana","Existing Feature",Yes,15.4.0.20,,,,2013-10-22,open
xos0053803,"Installed 4096 acl rules in X670 in single width mode. configured the switch in","3 - Minor","0 - To Be Reviewed",,Assigned,System,ACL,Assigned,"EXOS 15.4.1",3511,slakshmanan,slakshmanan,aoumanski,"Shankar Palanivel","Daya Narayana","Existing Feature",No,,,,,2013-10-25,open
xos0053894,"D-Disabled is listed as a Link State in show sharing, but disable port changes ","4 - Trivial","4 - Moderate",,Assigned,L2,LACP/LAG,Assigned,"EXOS 15.4.1",3511,rpersaud,rpersaud,jford,"Rob Hiekel","Daya Narayana","Existing Feature",No,,,,,2013-11-01,open
xos0054124,"X670 takes 25 minutes to delete an active port from 511 VRRP VLAN's configured ","2 - Major","3 - Important",,Assigned,IP,VRRP,Assigned,"EXOS 15.4.1",3511,sairamanathan,umani,pragunathan,"Gopla Ramkumar","Gopla Ramkumar","Existing Feature",No,,,,,2013-11-26,open
xos0054135,"exvlan kernel module has crashed while disabling/enabling trunk ports","2 - Major","4 - Moderate",,Assigned,VLAN,General,Assigned,"EXOS 15.4.1",3511,supadhyay,psanjaygandhi,mxu,"Suresh Babu Thuravupala","Tim Bourne","Existing Feature",Yes,15.4.0.45,,,,2013-11-27,open
xos0054183,"Add a debug CLI command to display which ECMP gateway will be used by HW, given","5 - New Feature","3 - Important",,Assigned,IP,"v4 General",Assigned,"EXOS 15.4.1",3511,erovner,erovner,erovner,"Daya Narayana","Daya Narayana","Existing Feature",No,,,,,2013-12-04,open
xos0054904,"Sending continuous pings to an unreachable destination on Mgmt VLAN from 8 CLI ","4 - Trivial","5 - Low",,Assigned,NET,Tools,Assigned,"EXOS 15.5.1",3511,jvervaert,jvervaert,travinanthanan,"Shankar Palanivel","Anand Sundaresh Natarajan","Existing Feature",No,,,,,2014-02-14,open
xos0054936,"No error message is thrown while adding a route leaking static route with gatew","4 - Trivial","5 - Low",,Assigned,IP,"v4 General",Assigned,"EXOS 15.5.2",3511,pvaigundaboopathy,pvaigundaboopathy,lzhao,"Gopla Ramkumar","Tim Bourne","Inter-VRF Route Leaking",No,,,,,2014-02-19,open
xos0055314,"When SFP+ 10m passive copper cable is inserted , switch is not throwing any log","4 - Trivial","4 - Moderate",,Assigned,System,Optics,Assigned,"EXOS 15.7.1",3511,dnarasimhan,dnarasimhan,sbose,"Anand Sundaresh Natarajan","Daya Narayana",Lion/X460G2,No,,,,,2014-03-18,open
xos0055409,"On X770 and x670-G2 Platforms UDF Acl at times is not working,policies are appl","3 - Minor","4 - Moderate",,Assigned,System,ACL,Assigned,"EXOS 15.5.1",3511,sjamaludeen,sjamaludeen,aoumanski,"Raj Velusamy","Daya Narayana","ACL Improvements ( Alex )",No,,,,,2014-03-28,open
xos0055500,"[xos0000050] bootprelay not forwarding discovers in user created vr from next-h","3 - Minor","4 - Moderate",,Assigned,NET,DHCP/BOOTP,Assigned,"EXOS 15.5.1",3511,uparthasarathy,rvelusamy,vilangovan,"Jimmy Blythe","Anand Sundaresh Natarajan","Existing Feature",No,,,,,2014-04-08,open
xos0055524,"EXOS_RSVP: �configure mpls rsvp-te metric� functionality is not working on x","3 - Minor","3 - Important",,Assigned,MPLS,General,Assigned,"EXOS 15.5.1",3511,rtavva,rtavva,negus,"Suresh Babu Thuravupala","Fee, Brendan","Existing Feature",No,,,,,2014-04-10,open
xos0055563,"In x460-G2 lion switches 1G SFP ports when 10/100/1000 BASET optics is inserted","2 - Major","3 - Important",,Assigned,System,Optics,Assigned,"EXOS 15.6.1",3511,dnarasimhan,dnarasimhan,sbose,"Anand Sundaresh Natarajan","Daya Narayana",Lion/X460G2,No,,,,,2014-04-15,open
